PROCESSO;REF. EXTERNA;ll;DATA REGISTRO;D.I.;TX DOLAR D.I.;CLIENTE DO PROCESSO;CÓDIGO;DESCRIÇÃO DO PRODUTO;NCM;CÓD. ADIÇÃO;CÓDIGO EXPORTADOR;EXPORTADOR;FABRICANTE;QTD.;CFOP;UNIDADE;NÚMERO NOTA;FOB;FRETE;SEGURO;THC;CIF;I.I;% I.I;I.P.I.;% I.P.I.;DESPESAS;PIS;% PIS;COFINS;% COFINS;ANTIDUMPING;BC. ICMS;ICMS;% ICMS;VALOR UNITÁRIO;PESO LÍQUIDO;DIFERÊNÇA IPI;ICMS S.T.;TOTAL
55459;CT00027/20;JF191220;10/01/2020;20/0061321-6;4,074400;NUTRAMAX S.A.;407778;NOME COMERCIAL: REBAUDIOSÍDIO A 90%   REBAUDIOSÍDIO A É O NOME GENÉRICO DE UM DOS 9 PRINCIPAIS EDULCORANTES NATURAIS (GLICOSÍDEOS DE ESTEVIOL) OBTIDOS POR EXTRAÇÃO A PARTIR DA FOLHA DA PLANTA STEVIA REBAUDIANA BERTONI   EXTRATO NATURAL CONTENDO MAIS DE 95% DE GLICOSÍDEOS DE ESTEVIOL TOTAIS E MÍNIMO DE 90% DE REBAUDISÍDIO A - NOME QUÍMICO: REBAUDIOSÍDIO A , 19-O-BETA-GLUCOPYRANOSYL-13-O-(BETA-GLUCOPYRANOSYL(1-2)-BETA-GLUCOPYRANOSYL(1-3))-BETA-GLUCOPYRANOSYL-13-XHYDROXYKAUR-16-EN-19-OIC ACID - SINÔNIMOS: REBAUDIOSIDE A , (4R)-13- (2-O-?-D-GLUCOPYRANOSYL-3-O-?-D-GLUCOPYRANOSYL-?-D-GLUCOPYRANOSYL)OXY KAUR-16-EN-18-OIC ACID ?-D-GLUCOPYRANOSYL ESTER, (4?)-13- (2-O-?-D-GLUCOPYRANOSYL-3-O-?-D-GLUCOPYRANOSYL-?-D-GLUCOPYRANOSYL)-OXY KAUR-6-EN-8-OIC ACID ?-D-GLUCOPYRANOSYL ESTER - CAS: 58543-16-1   INS: 960   FÓRMULA MOLECULAR: C44H70O23   PESO MOLECULAR: 967,01 G-MOL   ESTADO FÍSICO: PÓ, BRANCO OU OFF-WHITE. PRODUTO ACONDICIONADO EM CAIXAS DE PAPELÃO DE 20 KG PESO LÍQUIDO. O REBAUDIOSÍDIO A É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE (SUBSTITUTO DO AÇÚCAR) NATURAL DE ALTA INTENSIDADE EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06-08-2010.;29389090;1;;NANJING JOYFUL IMP. / EXP. CO., LTD;NANJING JOYFUL IMP. / EXP. CO., LTD;100,000;5949-C3;QUILOGRAMA LIQUIDO;123539;19.588,93;5.061,19;38,23;0,00;24.688,35;493,77;2.00%;0,00;0.0%;1.264,39;518,45;2.1%;2.382,42;9.65%;0,00;32.608,21;3.260,82;10.0%;326,08;100,00;0,00;0,00;32.608,21
55459;CT00027/20;JF191220;10/01/2020;20/0061321-6;4,074400;NUTRAMAX S.A.;210513;"NOME COMERCIAL: REBAUDIOSÍDIO A 98%   REBAUDIOSÍDIO A É O NOME GENÉRICO DE UM DOS 9 PRINCIPAIS EDULCORANTES NATURAIS (GLICOSÍDEOS DE ESTEVIOL) OBTIDOS POR EXTRAÇÃO A PARTIR DA FOLHA DA PLANTA STEVIA REBAUDIANA BERTONI   EXTRATO NATURAL CONTENDO  MAIS DE 95% DE GLICOSÍDEOS DE ESTEVIOL TOTAIS E MÍNIMO DE 98% DE REBAUDISÍDIO A - NOME QUÍMICO: REBAUDIOSÍDIO A ; 19-O-BETA-GLUCOPYRANOSYL-13-O-(BETA-GLUCOPYRANOSYL(1-2)-BETA-GLUCOPYRANOSYL(1-3))-BETA-GLUCOPYRANOSYL-13-XHYDROXYKAUR-16-EN-19-OIC ACID - SINÔNIMOS: REBAUDIOSIDE A ; (4R)-13-[(2-O-?-D-GLUCOPYRANOSYL-3-O-?-D-GLUCOPYRANOSYL-?-D-GLUCOPYRANOSYL)OXY]KAUR-16-EN-18-OIC ACID ?-D-GLUCOPYRANOSYL ESTER; (4?)-13-[(2-O-?-D-GLUCOPYRANOSYL-3-O-?-D-GLUCOPYRANOSYL-?-D-GLUCOPYRANOSYL)-OXY]KAUR-6-EN-8-OIC ACID ?-D-GLUCOPYRANOSYL ESTER - CAS: 58543-16-1   INS: 960   FÓRMULA MOLECULAR: C44H70O23   PESO MOLECULAR: 967,01 G/MOL    ESTADO FÍSICO: PÓ, BRANCO OU OFF-WHITE. PRODUTO ACONDICIONADO EM CAIXAS DE PAPELÃO DE 20 KG PESO LÍQUIDO. O REBAUDIOSÍDIO A É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE (SUBSTITUTO DO AÇÚCAR) NATURAL DE ALTA INTENSIDADE EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";29389090;1;;NANJING JOYFUL IMP. / EXP. CO., LTD;NANJING JOYFUL IMP. / EXP. CO., LTD;40,000;5949-C3;QUILOGRAMA LIQUIDO;123539;8.813,43;2.024,48;16,81;0,00;10.854,71;217,09;2.00%;0,00;0.0%;568,01;227,95;2.1%;1.047,48;9.65%;0,00;14.350,27;1.435,03;10.0%;358,76;40,00;0,00;0,00;14.350,27
55459;CT00027/20;JF191220;10/01/2020;20/0061321-6;4,074400;NUTRAMAX S.A.;214912;"NOME COMERCIAL: D-MANOSE EM PÓ   D-MANOSE É O NOME GENÉRICO DO MONOSSACARÍDEO (CARBOIDRATO SIMPLES E AÇÚCAR QUIMICAMENTE PURO) CUJA MOLÉCULA É COMPOSTA POR 6 UNIDADES DE CARBONO (HEXOSE). NOME QUÍMICO: D-MANOSE - SINÔNIMOS: CARUBINOSE; SEMINOSE; D-MANNOPYRANOSE; D-(+)-MANNOSE; D-MANNOSE; MANNOSE - CAS: 3458-28-4 - EINECS: 222-392-4 - FÓRMULA MOLECULAR: C6H12O6 -  PESO MOLECULAR: 180,16 G/MOL   A D-MANOSE É UM CARBOIDRATO ENCONTRADO NATURALMENTE EM FRUTAS COMO PÊSSEGOS, MAÇÃS, LARANJA, ABACAXI, CRANBERRY, BLUEBERRY, MADEIRA E TAMBÉM É PRODUZIDA PELO CORPO HUMANO. PRODUZIDA COMERCIALMENTE A PARTIR DO AÇÚCAR GLICOSE. É UTILIZADA PRINCIPALMENTE COMO ADOÇANTE NATURAL DE ALIMENTOS E SUPLEMENTOS NUTRICIONAIS ETC. PRODUTO EM PÓ DE COR BRANCA OU OFF-WHITE ACONDICIONADO EM BARRICAS DE 25 KG PESO LÍQUIDO CADA. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";29400019;2;;NANJING JOYFUL IMP. / EXP. CO., LTD;NANJING JOYFUL IMP. / EXP. CO., LTD;250,000;5949-C3;QUILOGRAMA LIQUIDO;123539;22.998,03;12.652,97;44,57;0,00;35.695,57;713,91;2.00%;0,00;0.0%;1.507,46;749,60;2.1%;3.444,62;9.65%;0,00;46.790,18;4.679,02;10.0%;187,16;250,00;0,00;0,00;46.790,18
42771;CT00079/19;172100008002/172100008003/172100008005/17210000800;19/02/2019;19/0318750-0;3,715500;NUTRAMAX S.A.;350940;"NOME COMERCIAL: L-ISOLEUCINA. A L-ISOLEUCINA É UM AMINOÁCIDO DE CADEIA RAMIFICADA E ESSENCIAL, OU SEJA, QUE NÃO É PRODUZIDO PELO CORPO HUMANO, SENDO NECESSÁRIA SUA INGESTÃO VIA DIETA OU SUPLEMENTOS. É ENCONTRADA NATURALMENTE EM AMÊNDOAS, CASTANHAS E PROTEÍNAS DE SOJA. NOME QUÍMICO: L-ISOLEUCINA - NOME IUPAC: (2S,3S)-2-AMINO-3-METHYLPENTANOIC ACID - SINÔNIMOS: 2-AMINO-3-METHYLVALERIC ACID; (2S)-2-AMINO-3-METHYLPENTANOIC ACID; (2S,3S)-(+)-ISOLEUCINE; L-2-AMINO-3-METHYLVALERIC ACID; L-(+)-ISOLEUCINE; (2S,3S)-2-AMINO-3-METHYL-PENTANOIC ACID; (2S,3S)-A-AMINO-B-METHYL-N-VALERIC ACID; (2S,3S)-A-AMINO-B-METHYLVALERIC ACID - CAS: 73-32-5 - EINECS (EC#): 200-798-2 - INS: 641 - FÓRMULA MOLECULAR: C6H13NO2 - PESO MOLECULAR: 131,17 G/MOL - A L-ISOLEUCINA É FABRICADA COMERCIALMENTE A PARTIR DA FERMENTAÇÃO DE CARBOIDRATOS E É UTILIZADA PRINCIPALMENTE COMO UM AMINOÁCIDO EM ALIMENTOS E SUPLEMENTOS NUTRICIONAIS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";29224990;2;;MEIHUA GROUP INTERNATIONAL TRADING (HONG KONG) LTD;TONGLIAO MEIHUA BIOLOGICAL SCI-TECH CO.,LTD;1,000;6949-C1;TONELADA METRICA;98016;46.815,30;254,21;57,18;84,21;47.210,91;944,22;2.00%;0,00;0.0%;2.107,98;991,42;2.1%;4.555,85;9.65%;0,00;63.420,87;7.610,50;12.0%;63.420,87;1.000,00;0,00;0,00;63.420,87
42771;CT00079/19;172100008002/172100008003/172100008005/17210000800;19/02/2019;19/0318750-0;3,715500;NUTRAMAX S.A.;208329;"NOME COMERCIAL: L-LEUCINA. A L-LEUCINA É UM AMINOÁCIDO ESSENCIAL (QUE NÃO É PRODUZIDO PELO CORPO HUMANO, SENDO NECESSÁRIA SUA INGESTÃO VIA DIETA OU SUPLEMENTOS) DE CADEIA RAMIFICADA, IMPORTANTE NA FORMAÇÃO DA HEMOGLOBINA, SÍNTESE DE PROTEÍNAS E MUITAS FUNÇÕES METABÓLICAS. É ENCONTRADA NATURALMENTE EM MUITAS PROTEÍNAS E PLANTAS, COMO FEIJÃO, SOJA, GIRASSOL, ALFARROBA, ESPINAFRE, TRIGO, LENTILHA ETC. NOME QUÍMICO: L-ISOLEUCINA - NOME IUPAC: (2S)-2-AMINO-4-METHYLPENTANOIC ACID   SINÔNIMOS: (S)-2-AMINO-4-METHYLVALERICACID ;1-LEUCINE;2-AMINO-4-METHYLPENTANOIC ACID;2-AMINO-4-METHYLPENTANOICACID ;2-AMINO-4-METHYL-VALERICACI ;4-METHYL-L-NORVALIN ;4-METHYL-NORVALIN ;ALPHA-AMINO-GAMMA-METHYLVALERIC ACID - CAS: 61-90-5 - EINECS (EC#): 200-522-0   INS: 641   FÓRMULA MOLECULAR: C6H13NO2   FEMA: 3297 - PESO MOLECULAR: 131,17 G/MOL   A L-ISOLEUCINA É FABRICADA COMERCIALMENTE A PARTIR DA FERMENTAÇÃO DE CARBOIDRATOS E É UTILIZADA PRINCIPALMENTE COMO UM AMINOÁCIDO EM ALIMENTOS E SUPLEMENTOS NUTRICIONAIS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";29224990;3;;MEIHUA GROUP INTERNATIONAL TRADING (HONG KONG) LTD;TONGLIAO MEIHUA BIOLOGICAL SCI-TECH CO.,LTD;3,000;6949-C1;TONELADA METRICA;98016;146.019,15;762,64;178,42;252,63;147.212,84;2.944,26;2.00%;0,00;0.0%;6.574,88;3.091,46;2.1%;14.206,04;9.65%;0,00;197.760,77;23.731,29;12.0%;65.920,26;3.000,00;0,00;0,00;197.760,77
42771;CT00079/19;172100008002/172100008003/172100008005/17210000800;19/02/2019;19/0318750-0;3,715500;NUTRAMAX S.A.;203944;"NOME COMERCIAL: L-VALINA. A L-VALINA É UM AMINOÁCIDO DE CADEIA RAMIFICADA E ESSENCIAL, OU SEJA, QUE NÃO É PRODUZIDO PELO CORPO HUMANO, SENDO NECESSÁRIA SUA INGESTÃO VIA DIETA OU SUPLEMENTOS. É ENCONTRADA NATURALMENTE EM GRÃOS, LATICÍNIOS, COGUMELOS, CARNES, AMENDOINS E PROTEÍNAS DE SOJA. NOME QUÍMICO: L-VALINA OU (2S)-2-AMINO-3-METHYLBUTANOIC ACID   SINÔNIMOS: L-2-AMINO-3-METHYLBUTYRIC ACID; L-VALINE, FCC GRADE L-2-AMINO-3-METHYLBUTYRIC ACID, FCC GRADE; H-VAL-OH; 2-AMINO-3-METHYLBUTANOIC ACID; LVALINE; L-2-AMINOISOVALERIC ACID; (S)-(+)-2-AMINO-3-METHYLBUTYRIC ACID; ; 1-2-AMINO-3-METHYLBUTYRIC ACID; VALINE - CAS: 72-18-4 - EINECS (EC#): 200-773-6   FÓRMULA MOLECULAR: C5H11NO2   PESO MOLECULAR: 117.1478 G/MOL   A L-VALINA É FABRICADA COMERCIALMENTE A PARTIR DA FERMENTAÇÃO DE CARBOIDRATOS E É UTILIZADA PRINCIPALMENTE COMO UM AMINOÁCIDO EM ALIMENTOS E SUPLEMENTOS NUTRICIONAIS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";29224990;4;;MEIHUA GROUP INTERNATIONAL TRADING (HONG KONG) LTD;TONGLIAO MEIHUA BIOLOGICAL SCI-TECH CO.,LTD;1,000;6949-C1;TONELADA METRICA;98016;19.692,15;254,21;24,11;84,21;20.054,69;401,09;2.00%;0,00;0.0%;886,69;421,14;2.1%;1.935,27;9.65%;0,00;26.930,55;3.231,67;12.0%;26.930,55;1.000,00;0,00;0,00;26.930,55
42771;CT00079/19;172100008002/172100008003/172100008005/17210000800;19/02/2019;19/0318750-0;3,715500;NUTRAMAX S.A.;203946;"NOME COMERCIAL: L-GLUTAMINA   É O AMINOÁCIDO LIVRE E NÃO ESSENCIAL MAIS ABUNDANTE NATURALMENTE NO TECIDO MUSCULAR. PRODUZIDO COMERCIALMENTE VIA FERMENTATIVA - NOME QUÍMICO: L-GLUTAMINA; IUPAC: L-GLUTAMINE (2S)-2-AMINO-4-CARBAMOYLBUTANOIC ACID   FÓRMULA MOLECULAR C5H10N2O3   PESO MOLECULAR: 146,13 G/MOL   CAS: 56-85-9   JECFA: 1430   FEMA: 3684   A L-GLUTAMINA  É UTILIZADA PRINCIPALMENTE COMO FONTE DE AMINOÁCIDO EM ALIMENTOS, BEBIDAS E SUPLEMENTOS NUTRICIONAIS/ESPORTIVOS. PRODUTO ISENTO DE REGISTRO CONFORME RDC 27 DE 06/08/2010.";29224220;1;;MEIHUA GROUP INTERNATIONAL TRADING (HONG KONG) LTD;TONGLIAO MEIHUA BIOLOGICAL SCI-TECH CO.,LTD;4,500;6949-C1;TONELADA METRICA;98017;153.487,31;1.143,97;187,71;378,95;155.197,93;12.415,83;8.00%;0,00;0.0%;6.911,15;0,00;0.0%;0,00;0.0%;0,00;181.796,78;7.271,87;4.0%;40.399,28;4.500,00;0,00;0,00;181.796,78
42967;CT00275/19;HKNA18007;19/02/2019;19/0318160-9;3,715500;NUTRAMAX S.A.;100648;NOME COMERCIAL: SORBITOL PÓ - SORBITOL É O NOME GENÉRICO DO COMPOSTO CONHECIDO PELO NOME QUÍMICO D-GLUCITOL. SINÔNIMOS: D-GLUCITOL, D-SORBITOL, SORBIT, SORBOL - NOME IUPAC: (2R,3R,4R,5S)-HEXANE-1,2,3,4,5,6-HEXOL - CAS: 50-70-4 - EINECS (EC#): 200-061-5 - INS: 420 (I) - FÓRMULA MOLECULAR: C6H14O6 - PESO MOLECULAR: 182,17 G/MOL - SORBITOL É UM COMPOSTO ORGÂNICO DE CONSTITUIÇÃO QUÍMICA DEFINIDA E ISOLADO, UM POLIÁLCOOL, UM ÁLCOOL ACÍCLICO. SORBITOL É ENCONTRADO NATURALMENTE EM DIVERSAS FRUTAS, MAS É PRODUZIDO COMERCIALMENTE A PARTIR DO MILHO. O SORBITOL EM PÓ É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE/ADOÇANTE (SUBSTITUTO DO AÇÚCAR) E AGENTE DE CORPO EM ALIMENTOS E BEBIDAS. SORBITOL EM PÓ ACONDICIONADO EM SACOS DE 25 KG PESO LÍQUIDO. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.;29054400;1;;ZHEJIANG HUAKANG PHARMACEUTICAL CO., LTD;ZHEJIANG HUAKANG PHARMACEUTICAL CO., LTD;18.750,000;6949-C1;QUILOGRAMA LIQUIDO (10);97531;87.082,03;3.622,61;123,91;540,00;91.368,55;12.791,60;14.00%;0,00;0.0%;4.234,39;1.918,63;2.1%;8.816,56;9.65%;0,00;124.093,47;4.963,74;4.0%;6,62;18.750,00;0,00;0,00;124.093,47
42967;CT00275/19;HKNA18007;19/02/2019;19/0318160-9;3,715500;NUTRAMAX S.A.;100648;NOME COMERCIAL: SORBITOL PÓ - SORBITOL É O NOME GENÉRICO DO COMPOSTO CONHECIDO PELO NOME QUÍMICO D-GLUCITOL. SINÔNIMOS: D-GLUCITOL, D-SORBITOL, SORBIT, SORBOL - NOME IUPAC: (2R,3R,4R,5S)-HEXANE-1,2,3,4,5,6-HEXOL - CAS: 50-70-4 - EINECS (EC#): 200-061-5 - INS: 420 (I) - FÓRMULA MOLECULAR: C6H14O6 - PESO MOLECULAR: 182,17 G/MOL - SORBITOL É UM COMPOSTO ORGÂNICO DE CONSTITUIÇÃO QUÍMICA DEFINIDA E ISOLADO, UM POLIÁLCOOL, UM ÁLCOOL ACÍCLICO. SORBITOL É ENCONTRADO NATURALMENTE EM DIVERSAS FRUTAS, MAS É PRODUZIDO COMERCIALMENTE A PARTIR DO MILHO. O SORBITOL EM PÓ É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE/ADOÇANTE (SUBSTITUTO DO AÇÚCAR) E AGENTE DE CORPO EM ALIMENTOS E BEBIDAS. SORBITOL EM PÓ ACONDICIONADO EM SACOS DE 25 KG PESO LÍQUIDO. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.;29054400;1;;ZHEJIANG HUAKANG PHARMACEUTICAL CO., LTD;ZHEJIANG HUAKANG PHARMACEUTICAL CO., LTD;6.250,000;6949-C1;QUILOGRAMA LIQUIDO (10);97531;27.866,25;1.207,54;39,65;180,00;29.293,44;4.101,08;14.00%;0,00;0.0%;1.355,01;615,27;2.1%;2.827,32;9.65%;0,00;39.783,45;1.591,34;4.0%;6,37;6.250,00;0,00;0,00;39.783,45
42969;CT00277/19;WM19005;29/03/2019;19/0567078-0;3,938900;NUTRAMAX S.A.;100645;NOME COMERCIAL: MALTITOL LÍQUIDO 75% - MALTITOL É O NOME GENÉRICO DO POLIOL OBTIDO PELA HIDROGENAÇÃO DA MALTOSE - NOMES QUÍMICOS: MALTITOL, ALFA-D-GLUCOPIRANOSIL-1,4-D-GLUCITOL  - SINÔNIMOS: D-MALTITOL, MALTOSE HIDROGENADA, XAROPE DE MALTITOL - CAS: 585-88-6 - EINECS (EC#): 209-567-0 - INS: 965 - FÓRMULA MOLECULAR: C12H24O11 - PESO MOLECULAR: 344,31G/MOL - O MALTITOL LÍQUIDO É COMPOSTO APROXIMADAMENTE DE 75% DE SÓLIDOS (POLIOL) E 25% DE ÁGUA E É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE (SUBSTITUTO DO AÇÚCAR) E AGENTE DE CORPO EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010;29400093;1;;LUZHOU BIO-CHEM TECHNOLOGY (SHANDONG) CO., LTD.;LUZHOU BIO-CHEM TECHNOLOGY (SHANDONG) CO., LTD.;22,000;6949-C1;TONELADA METRICA;100537;55.026,43;4.923,63;82,36;720,00;60.752,42;8.505,34;14.00%;0,00;0.0%;4.816,25;1.275,80;2.1%;5.862,61;9.65%;0,00;84.596,27;3.383,85;4.0%;3.845,29;66.000,00;0,00;0,00;84.596,27
