PROCESSO;REF. EXTERNA;ll;DATA REGISTRO;D.I.;TX DOLAR D.I.;CLIENTE DO PROCESSO;CÓDIGO;DESCRIÇÃO DO PRODUTO;NCM;CÓD. ADIÇÃO;CÓDIGO EXPORTADOR;EXPORTADOR;FABRICANTE;QTD.;CFOP;UNIDADE;NÚMERO NOTA;FOB;FRETE;SEGURO;THC;CIF;I.I;% I.I;I.P.I.;% I.P.I.;DESPESAS;PIS;% PIS;COFINS;% COFINS;ANTIDUMPING;BC. ICMS;ICMS;% ICMS;VALOR UNITÁRIO;PESO LÍQUIDO;DIFERÊNÇA IPI;ICMS S.T.;TOTAL
41979;CT11856/18;YX180927;2018-12-26;18/2352097-0;3,867100;DISPROQUIMA BRASIL S.A.;325367;NOME COMERCIAL: XILITOL PÓ - CM50 - XILITOL É O NOME GENÉRICO DO COMPOSTO CONHECIDO PELO NOME QUÍMICO 1,2,3,4,5- PENTAHIDROXI-PENTANO. CAS: 87-99-0 - FÓRMULA MOLECULAR: C5H12O5 - PESO MOLECULAR: 152,15 G/MOL - XILITOL É UM COMPOSTO ORGÂNICO DE CONSTITUIÇÃO QUÍMICA DEFINIDA E ISOLADO, UM OUTRO POLIÁLCOOL, UM ÁLCOOL ACÍCLICO. XILITOL É ENCONTRADO NATURALMENTE EM DIVERSAS FRUTAS E VEGETAIS, MAS É PRODUZIDO COMERCIALMENTE A PARTIR DO MILHO - ASPECTO FÍSICO: PÓ BRANCO, FINO - ACONDICIONADO EM CAIXAS DE 20 KG PESO LÍQUIDO - É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE (SUBSTITUTO DO AÇÚCAR) E AGENTE DE CORPO EM ALIMENTOS E BEBIDAS.  PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.;29054900.0;1;;ANYANG CITY YUXIN XYLITOL TECHNOLOGY CO., LTD;ANYANG CITY YUXIN XYLITOL TECHNOLOGY CO., LTD;0,000;6949-C2;QUILOGRAMA LIQUIDO (10);93970;0,00;0,00;0,00;0,00;0,00;0,00;2.00%;0,00;0.0%;1.984,71;0,00;2.1%;0,00;9.65%;0,00;2.255,35;270,64;12.0%;0,38;6.000,00;0,00;0,00;2.255,35
42204;CT12081/18;NAACS18A1580;2019-01-07;19/0034071-4;3,768300;DISPROQUIMA BRASIL S.A.;214911;"NOME COMERCIAL: SORBATO DE POTÁSSIO EM PÓ   SORBATO DE POTÁSSIO É O NOME GENÉRICO DO SAL POTÁSSICO DO ÁCIDO SÓRBICO   NOMES QUÍMICOS: SORBATO DE POTÁSSIO; POTASSIUM SALT OF TRANS, TRANS-2,4-HEXADIENOIC ACID   SINÔNIMOS: 2,4-HEXADIENOIC ACID, POTASSIUM SALT, (E,E)-; POTASSIUM (E,E)-HEXA-2,4-DIENOATE; (E,E)-HEXADIENOIC ACID, POTASSIUM SALT; 2,4-POTASSIUM HEXADIENOIC ACID; 2,4-HEXADIENOIC ACID POTASSIUM SALT; 2,4-POTASSIUM SORBATE; POTASSIUM (2E,4E)-HEXA-2,4-DIENOATE; POTASSIUM (2Z,4Z)-HEXA-2,4-DIENOATE - CAS: 24634-61-5   EINECS (EC#): 246-376-1   INS: 202   FÓRMULA MOLECULAR: C6H7KO2   PESO MOLECULAR: 150,22 G/MOL - ASPECTO FÍSICO: PÓ FINO DE COR BRANCA OU OFF-WHITE - ACONDICIONADO EM CAIXAS DE 25 KG PESO LÍQUIDO - O SORBATO DE POTÁSSIO É UTILIZADO PRINCIPALMENTE COMO CONSERVANTE EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RDC 27 DE 06/08/2010.";29161911.0;1;;NANTONG ACETIC ACID CHEMICAL CO., LTD.;NANTONG ACETIC ACID CHEMICAL CO., LTD.;0,000;6949-C2;QUILOGRAMALIQUIDA;94970;0,00;0,00;0,00;0,00;0,00;0,00;12.00%;0,00;0.0%;98,84;0,00;2.1%;0,00;9.65%;0,00;102,96;4,12;4.0%;0,02;4.500,00;0,00;0,00;102,96
41340;CT11217/18;1;2019-01-14;19/0087527-8;3,686900;DISPROQUIMA BRASIL S.A.;242521;NOME COMERCIAL: POLIDEXTROSE TIPO 3 (POLYDEXTROSE TYPE 3) EM PÓ   POLIDEXTROSE É O NOME GENÉRICO DO POLÍMERO COM LIGAÇÕES RANDÔMICAS OBTIDO PELA CONDENSAÇÃO DE DEXTROSE, ÁCIDO CÍTRICO E SORBITOL   CAS: 68424-04-4   EINECS (EC#): 232-536-8   INS: 1200   FÓRMULA MOLECULAR: (C6H10O5)N   PESO MOLECULAR: VARIÁVEL, PORÉM MENOR QUE 22000 G/MOL   ASPECTO: PÓ FINO, DE COLORAÇÃO BRANCA OU OFF-WHITE. ACONDICIONADO EM SACOS DE 25 KG PESO LÍQUIDO. A POLIDEXTROSE É UTILIZADA PRINCIPALMENTE COMO FIBRA DIETÉTICA SOLÚVEL, AGENTE DE CORPO, ESPESSANTE OU ESTABILIZANTE EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.;39071041.0;2;;HENAN TAILIJIE BIOTECH CO., LTD.;HENAN TAILIJIE BIOTECH CO., LTD.;25.000,000;6949-C1;QUILOGRAMALIQUIDO;94215;120.285,11;4.227,92;165,27;782,61;125.460,90;2.509,22;2.00%;6.398,51;5.0%;2.724,86;2.634,68;2.1%;12.106,98;9.65%;0,00;165.268,90;19.832,27;12.0%;6,61;25.000,00;1.864,94;0,00;173.532,35
40753;CT10630/18;PO: 1800022;2019-01-14;19/0086892-1;3,686900;DISPROQUIMA BRASIL S.A.;224299;"NOME COMERCIAL: DEXTROSE MONOIDRATADA EM PÓ (D-GLUCOSE MONOIDRATADA EM PÓ). DEXTROSE MONOIDRATADA É UM AÇÚCAR (MONOSSACARÍDIO, HEXOSE, GLICOSE QUIMICAMENTE PURA) PRESENTE NA NATUREZA EM FRUTAS, MEL, CARBOIDRATOS MAIORES ETC. NOME IUPAC: (2R,3S,4R,5R)-2,3,4,5,6-PENTAHYDROXYHEXANAL;HYDRATE - NOME QUÍMICO E SINÔNIMOS: D-GLUCOSE MONOIDRATADA; DEXTROSE MONOIDRATADA; D-GLUCOSE, MONOHYDRATE; C6H12O6.H2O; CORN SUGAR - CAS: 77938-63-7 (CAS ANTIGO: 5996-10-1)   EC NUMBER: 616-580-9 - EINECS: 200-075-1 - FÓRMULA MOLECULAR: C6H12O6.H2O (C6H14O7) -  PESO MOLECULAR: 198.17 G/MOL   PRODUZIDA COMERCIALMENTE A PARTIR DA HIDRÓLISE DE CARBOIDRATOS DO MILHO OU DA SACAROSE. É UTILIZADA PRINCIPALMENTE COMO ADOÇANTE NATURAL E FONTE RÁPIDA DE ENERGIA EM ALIMENTOS, BEBIDAS E SUPLEMENTOS NUTRICIONAIS ETC. PRODUTO EM PÓ DE COR BRANCA OU OFF-WHITE ACONDICIONADO EM SACOS DE 25 KG PESO LÍQUIDO CADA. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";17023011.0;1;;HULUNBEIER NORTHEAST FUFENG BIOTECH. CO., LTD;HULUNBEIER NORTHEAST FUFENG BIOTECH. CO., LTD;26.000,000;6949-C1;QUILOGRAMA LIQUIDO (10);94302;40.260,95;5.640,96;63,71;346,50;46.312,11;7.409,94;16.00%;0,00;0.0%;4.153,36;972,55;2.1%;4.469,12;9.65%;0,00;65.955,29;2.638,21;4.0%;2,54;52.000,00;0,00;0,00;65.955,29
42771;CT00079/19;172100008002/172100008003/172100008005/17210000800;2019-02-19;19/0318750-0;3,715500;NUTRAMAX S.A.;203946;"NOME COMERCIAL: L-GLUTAMINA   É O AMINOÁCIDO LIVRE E NÃO ESSENCIAL MAIS ABUNDANTE NATURALMENTE NO TECIDO MUSCULAR. PRODUZIDO COMERCIALMENTE VIA FERMENTATIVA - NOME QUÍMICO: L-GLUTAMINA; IUPAC: L-GLUTAMINE (2S)-2-AMINO-4-CARBAMOYLBUTANOIC ACID   FÓRMULA MOLECULAR C5H10N2O3   PESO MOLECULAR: 146,13 G/MOL   CAS: 56-85-9   JECFA: 1430   FEMA: 3684   A L-GLUTAMINA  É UTILIZADA PRINCIPALMENTE COMO FONTE DE AMINOÁCIDO EM ALIMENTOS, BEBIDAS E SUPLEMENTOS NUTRICIONAIS/ESPORTIVOS. PRODUTO ISENTO DE REGISTRO CONFORME RDC 27 DE 06/08/2010.";29224220.0;1;;MEIHUA GROUP INTERNATIONAL TRADING (HONG KONG) LTD;TONGLIAO MEIHUA BIOLOGICAL SCI-TECH CO.,LTD;4,500;6949-C1;TONELADA METRICA;98017;153.487,31;1.143,97;187,71;378,95;155.197,93;12.415,83;8.00%;0,00;0.0%;6.911,15;0,00;0.0%;0,00;0.0%;0,00;181.796,78;7.271,87;4.0%;40.399,28;4.500,00;0,00;0,00;181.796,78
42771;CT00079/19;172100008002/172100008003/172100008005/17210000800;2019-02-19;19/0318750-0;3,715500;NUTRAMAX S.A.;208329;"NOME COMERCIAL: L-LEUCINA. A L-LEUCINA É UM AMINOÁCIDO ESSENCIAL (QUE NÃO É PRODUZIDO PELO CORPO HUMANO, SENDO NECESSÁRIA SUA INGESTÃO VIA DIETA OU SUPLEMENTOS) DE CADEIA RAMIFICADA, IMPORTANTE NA FORMAÇÃO DA HEMOGLOBINA, SÍNTESE DE PROTEÍNAS E MUITAS FUNÇÕES METABÓLICAS. É ENCONTRADA NATURALMENTE EM MUITAS PROTEÍNAS E PLANTAS, COMO FEIJÃO, SOJA, GIRASSOL, ALFARROBA, ESPINAFRE, TRIGO, LENTILHA ETC. NOME QUÍMICO: L-ISOLEUCINA - NOME IUPAC: (2S)-2-AMINO-4-METHYLPENTANOIC ACID   SINÔNIMOS: (S)-2-AMINO-4-METHYLVALERICACID ;1-LEUCINE;2-AMINO-4-METHYLPENTANOIC ACID;2-AMINO-4-METHYLPENTANOICACID ;2-AMINO-4-METHYL-VALERICACI ;4-METHYL-L-NORVALIN ;4-METHYL-NORVALIN ;ALPHA-AMINO-GAMMA-METHYLVALERIC ACID - CAS: 61-90-5 - EINECS (EC#): 200-522-0   INS: 641   FÓRMULA MOLECULAR: C6H13NO2   FEMA: 3297 - PESO MOLECULAR: 131,17 G/MOL   A L-ISOLEUCINA É FABRICADA COMERCIALMENTE A PARTIR DA FERMENTAÇÃO DE CARBOIDRATOS E É UTILIZADA PRINCIPALMENTE COMO UM AMINOÁCIDO EM ALIMENTOS E SUPLEMENTOS NUTRICIONAIS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";29224990.0;3;;MEIHUA GROUP INTERNATIONAL TRADING (HONG KONG) LTD;TONGLIAO MEIHUA BIOLOGICAL SCI-TECH CO.,LTD;3,000;6949-C1;TONELADA METRICA;98016;146.019,15;762,64;178,42;252,63;147.212,84;2.944,26;2.00%;0,00;0.0%;6.574,88;3.091,46;2.1%;14.206,04;9.65%;0,00;197.760,77;23.731,29;12.0%;65.920,26;3.000,00;0,00;0,00;197.760,77
42969;CT00277/19;WM19005;2019-03-29;19/0567078-0;3,938900;NUTRAMAX S.A.;100645;NOME COMERCIAL: MALTITOL LÍQUIDO 75% - MALTITOL É O NOME GENÉRICO DO POLIOL OBTIDO PELA HIDROGENAÇÃO DA MALTOSE - NOMES QUÍMICOS: MALTITOL, ALFA-D-GLUCOPIRANOSIL-1,4-D-GLUCITOL  - SINÔNIMOS: D-MALTITOL, MALTOSE HIDROGENADA, XAROPE DE MALTITOL - CAS: 585-88-6 - EINECS (EC#): 209-567-0 - INS: 965 - FÓRMULA MOLECULAR: C12H24O11 - PESO MOLECULAR: 344,31G/MOL - O MALTITOL LÍQUIDO É COMPOSTO APROXIMADAMENTE DE 75% DE SÓLIDOS (POLIOL) E 25% DE ÁGUA E É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE (SUBSTITUTO DO AÇÚCAR) E AGENTE DE CORPO EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010;29400093.0;1;;LUZHOU BIO-CHEM TECHNOLOGY (SHANDONG) CO., LTD.;LUZHOU BIO-CHEM TECHNOLOGY (SHANDONG) CO., LTD.;0,000;6949-C2;TONELADA METRICA;100695;0,00;0,00;0,00;0,00;0,00;0,00;14.00%;0,00;0.0%;300,64;0,00;2.1%;0,00;9.65%;0,00;313,17;12,53;4.0%;14,23;66.000,00;0,00;0,00;313,17
45771;CT03063/19;JF190315-2;2019-04-03;19/0599729-0;3,868200;NUTRAMAX S.A.;137475;"NOME COMERCIAL: REBAUDIOSÍDIO A 50%   REBAUDIOSÍDIO A É O NOME GENÉRICO DE UM DOS 9 PRINCIPAIS EDULCORANTES NATURAIS (GLICOSÍDEOS DE ESTEVIOL) OBTIDOS POR EXTRAÇÃO A PARTIR DA FOLHA DA PLANTA STEVIA REBAUDIANA BERTONI   EXTRATO NATURAL CONTENDO  MAIS DE 95% DE GLICOSÍDEOS DE ESTEVIOL TOTAIS E MÍNIMO DE 50% DE REBAUDISÍDIO A - NOME QUÍMICO: REBAUDIOSÍDIO A ; 19-O-BETA-GLUCOPYRANOSYL-13-O-(BETA-GLUCOPYRANOSYL(1-2)-BETA-GLUCOPYRANOSYL(1-3))-BETA-GLUCOPYRANOSYL-13-XHYDROXYKAUR-16-EN-19-OIC ACID - SINÔNIMOS: REBAUDIOSIDE A ; (4R)-13-[(2-O-?-D-GLUCOPYRANOSYL-3-O-?-D-GLUCOPYRANOSYL-?-D-GLUCOPYRANOSYL)OXY]KAUR-16-EN-18-OIC ACID ?-D-GLUCOPYRANOSYL ESTER; (4?)-13-[(2-O-?-D-GLUCOPYRANOSYL-3-O-?-D-GLUCOPYRANOSYL-?-D-GLUCOPYRANOSYL)-OXY]KAUR-6-EN-8-OIC ACID ?-D-GLUCOPYRANOSYL ESTER - CAS: 58543-16-1   INS: 960   FÓRMULA MOLECULAR: C44H70CL3O23   PESO MOLECULAR: 967,01 G/MOL    ESTADO FÍSICO: PÓ, BRANCO OU OFF-WHITE. O REBAUDIOSÍDIO A É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE (SUBSTITUTO DO AÇÚCAR) NATURAL DE ALTA INTENSIDADE EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.";29389090.0;1;;NANJING JOYFUL IMP. / EXP. CO., LTD;SHANDONG HAIGEN BIOTECHNOLOGY CO., LTD.;300,000;6949-C1;QUILOGRAMA LIQUIDO;100675;23.288,46;15.586,95;65,26;0,00;38.940,67;778,81;2.00%;0,00;0.0%;2.590,40;817,75;2.1%;3.757,77;9.65%;0,00;53.278,86;6.393,46;12.0%;177,60;300,00;0,00;0,00;53.278,86
44699;CT02007/19;HKNA19001;2019-04-08;19/0628086-1;3,871300;NUTRAMAX S.A.;100648;NOME COMERCIAL: SORBITOL PÓ - SORBITOL É O NOME GENÉRICO DO COMPOSTO CONHECIDO PELO NOME QUÍMICO D-GLUCITOL. SINÔNIMOS: D-GLUCITOL, D-SORBITOL, SORBIT, SORBOL - NOME IUPAC: (2R,3R,4R,5S)-HEXANE-1,2,3,4,5,6-HEXOL - CAS: 50-70-4 - EINECS (EC#): 200-061-5 - INS: 420 (I) - FÓRMULA MOLECULAR: C6H14O6 - PESO MOLECULAR: 182,17 G/MOL - SORBITOL É UM COMPOSTO ORGÂNICO DE CONSTITUIÇÃO QUÍMICA DEFINIDA E ISOLADO, UM POLIÁLCOOL, UM ÁLCOOL ACÍCLICO. SORBITOL É ENCONTRADO NATURALMENTE EM DIVERSAS FRUTAS, MAS É PRODUZIDO COMERCIALMENTE A PARTIR DO MILHO. O SORBITOL EM PÓ É UTILIZADO PRINCIPALMENTE COMO EDULCORANTE/ADOÇANTE (SUBSTITUTO DO AÇÚCAR) E AGENTE DE CORPO EM ALIMENTOS E BEBIDAS. SORBITOL EM PÓ ACONDICIONADO EM SACOS DE 25 KG PESO LÍQUIDO. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUÇÃO RDC ANVISA NR. 27 DE 06/08/2010.;29054400.0;1;;ZHEJIANG HUAKANG PHARMACEUTICAL CO., LTD;ZHEJIANG HUAHAI PHARMACEUTICAL CO., LTD.;0,000;6949-C2;QUILOGRAMA LIQUIDO;101609;0,00;0,00;0,00;0,00;0,00;0,00;14.00%;0,00;0.0%;10,15;0,00;2.1%;0,00;9.65%;0,00;10,57;0,42;4.0%;0,00;25.000,00;0,00;0,00;10,57
45920;CT03212/19;TH124354;2019-04-12;19/0663437-0;3,839900;NUTRAMAX S.A.;117468;NOME COMERCIAL: SUCRALOSE - SUCRALOSE E O NOME GENERICO DO EDULCORANTE ARTIFICIAL DERIVADO DA SACAROSE - NOMES QUIMICOS: SUCRALOSE OU 1,6-DICLORO-1,6-DIDEOXI-D-FRUTOFURANOSIL-4-CLORO-4-DEOXI-ALFA-DGALACTOPIRANOSIDIO - SINÔNIMOS: 4,1,6-TRICLOROGALACTOSACAROSE - CAS: 56038-13-2 - EINECS (EC#): 259-952-2 - INS: 955 - FORMULA MOLECULAR: C12H19CL3O8 - PESO MOLECULAR: 397,64 G/MOL -  A SUCRALOSE EM PO E UTILIZADA PRINCIPALMENTE COMO EDULCORANTE (SUBSTITUTO DO ACUCAR) EM ALIMENTOS E BEBIDAS. PRODUTO ISENTO DE REGISTRO CONFORME RESOLUCÃO RDC ANVISA NR. 27 DE 06/08/2010.;29321400.0;1;;TECHNO CHINA DEVELOPMENTS LIMITED;TECHNO FOOD INGREDIENTS CO., LTD;0,000;6949-C2;QUILOGRAMA LIQUIDO;101928;0,00;0,00;0,00;0,00;0,00;0,00;2.00%;0,00;0.0%;90,91;0,00;2.1%;0,00;9.65%;0,00;103,31;12,40;12.0%;0,26;400,00;0,00;0,00;103,31
